case,age_group,goal,bucket,score_after,soft_score_after,surrogate_after,surrogate_gap,planned_sodium_mg,final_sodium_mg,hard_rule_ids
217,older_adult,balanced_nutrition,B_soft_score_shortfall,0.6221,0.6221,0.5743,-0.047799999999999954,28.5,469.6,
218,older_adult,balanced_nutrition,B_soft_score_shortfall,0.5772,0.5772,0.5786,0.0013999999999999568,2120.8,448.7,
219,older_adult,glycemic_control,B_soft_score_shortfall,0.6535,0.6535,0.6753,0.02180000000000004,678.7,494.1,
220,older_adult,glycemic_control,C_calibration_gap,0.6994,0.6994,0.7002,0.0008000000000000229,159.2,163.4,
221,older_adult,weight_management,B_soft_score_shortfall,0.6687,0.6687,0.62,-0.048699999999999966,1228.4,1226.3,
222,older_adult,weight_management,B_soft_score_shortfall,0.6677,0.6677,0.6887,0.02100000000000002,1.4,449.6,
223,older_adult,balanced_nutrition,B_soft_score_shortfall,0.4709,0.4709,0.4208,-0.05009999999999998,959.0,840.2,
225,older_adult,balanced_nutrition,B_soft_score_shortfall,0.6342,0.6342,0.5462,-0.08799999999999997,190.5,68.8,
228,older_adult,weight_management,B_soft_score_shortfall,0.3297,0.3297,0.3305,0.0008000000000000229,21.4,20.6,
229,older_adult,glycemic_control,B_soft_score_shortfall,0.5289,0.5289,0.5955,0.06659999999999999,9.6,108.0,
230,older_adult,balanced_nutrition,B_soft_score_shortfall,0.1598,0.1598,0.171,0.011200000000000015,123.4,77.9,
231,older_adult,balanced_nutrition,B_soft_score_shortfall,0.6295,0.6295,0.6171,-0.012399999999999967,1080.7,328.5,
233,older_adult,balanced_nutrition,B_soft_score_shortfall,0.688,0.688,0.6854,-0.0025999999999999357,97.2,565.7,
234,older_adult,balanced_nutrition,B_soft_score_shortfall,0.512,0.512,0.54,0.028000000000000025,491.7,489.8,
235,older_adult,weight_management,B_soft_score_shortfall,0.5931,0.5931,0.5649,-0.028200000000000003,312.0,398.9,
237,older_adult,glycemic_control,B_soft_score_shortfall,0.5544,0.5544,0.5773,0.02290000000000003,166.8,157.2,
239,older_adult,balanced_nutrition,B_soft_score_shortfall,0.459,0.459,0.5294,0.07039999999999996,65.7,64.7,
240,older_adult,weight_management,B_soft_score_shortfall,0.6732,0.6732,0.6952,0.02200000000000002,5.4,72.8,
241,older_adult,balanced_nutrition,B_soft_score_shortfall,0.3901,0.3901,0.4116,0.02150000000000002,594.6,285.2,
242,older_adult,weight_management,B_soft_score_shortfall,0.5641,0.5641,0.5435,-0.020600000000000063,741.0,635.5,
243,older_adult,weight_management,B_soft_score_shortfall,0.5075,0.5075,0.4946,-0.012899999999999967,92.9,92.5,
244,older_adult,weight_management,B_soft_score_shortfall,0.3949,0.3949,0.4355,0.040600000000000025,240.0,76.9,
247,older_adult,glycemic_control,B_soft_score_shortfall,0.6984,0.6984,0.6972,-0.0011999999999999789,15.2,140.4,
249,older_adult,weight_management,B_soft_score_shortfall,0.623,0.623,0.6958,0.07279999999999998,1202.4,383.2,
250,older_adult,balanced_nutrition,B_soft_score_shortfall,0.5808,0.5808,0.5816,0.0008000000000000229,465.5,469.0,
251,older_adult,glycemic_control,B_soft_score_shortfall,0.4219,0.4219,0.4235,0.0015999999999999903,342.3,70.9,
252,older_adult,balanced_nutrition,B_soft_score_shortfall,0.3398,0.3398,0.3595,0.019699999999999995,308.9,308.2,
253,older_adult,glycemic_control,B_soft_score_shortfall,0.6984,0.6984,0.6954,-0.0030000000000000027,42.2,42.9,
256,older_adult,glycemic_control,B_soft_score_shortfall,0.6734,0.6734,0.6929,0.019499999999999962,9.2,214.9,
257,older_adult,weight_management,C_calibration_gap,0.6972,0.6972,0.7058,0.008599999999999941,65.6,66.3,
259,older_adult,weight_management,B_soft_score_shortfall,0.5469,0.5469,0.5412,-0.005700000000000038,171.6,464.1,
260,older_adult,glycemic_control,C_calibration_gap,0.6925,0.6925,0.7029,0.010399999999999965,44.0,7.0,
262,older_adult,weight_management,B_soft_score_shortfall,0.3634,0.3634,0.359,-0.004400000000000015,18.2,17.9,
264,older_adult,glycemic_control,B_soft_score_shortfall,0.6539,0.6539,0.6698,0.015899999999999914,198.9,522.2,
265,older_adult,weight_management,B_soft_score_shortfall,0.5916,0.5916,0.6545,0.06289999999999996,29.7,113.2,
266,older_adult,balanced_nutrition,B_soft_score_shortfall,0.5201,0.5201,0.4456,-0.07450000000000001,525.4,251.7,
267,older_adult,weight_management,B_soft_score_shortfall,0.5946,0.5946,0.588,-0.00660000000000005,129.0,128.5,
268,older_adult,weight_management,B_soft_score_shortfall,0.4957,0.4957,0.5122,0.016500000000000015,432.5,41.4,
269,older_adult,balanced_nutrition,B_soft_score_shortfall,0.492,0.492,0.4607,-0.031299999999999994,515.1,483.4,
270,older_adult,glycemic_control,C_calibration_gap,0.6922,0.6922,0.704,0.011799999999999922,251.2,241.3,
271,older_adult,balanced_nutrition,B_soft_score_shortfall,0.3019,0.3019,0.3412,0.0393,1643.7,1643.6,
272,older_adult,weight_management,B_soft_score_shortfall,0.6644,0.6644,0.6098,-0.05459999999999998,330.4,327.9,
273,older_adult,balanced_nutrition,B_soft_score_shortfall,0.5753,0.5753,0.5264,-0.048900000000000055,54.9,60.0,
274,older_adult,weight_management,B_soft_score_shortfall,0.6173,0.6173,0.6866,0.06930000000000003,1427.0,1052.0,
275,older_adult,balanced_nutrition,B_soft_score_shortfall,0.4745,0.4745,0.4535,-0.020999999999999963,14.1,7.4,
276,older_adult,balanced_nutrition,B_soft_score_shortfall,0.3875,0.3875,0.3433,-0.04420000000000002,323.6,8.7,
277,older_adult,weight_management,B_soft_score_shortfall,0.4958,0.4958,0.4944,-0.0014000000000000123,448.3,292.8,
278,older_adult,glycemic_control,B_soft_score_shortfall,0.6359,0.6359,0.6775,0.04159999999999997,355.7,102.9,
279,older_adult,balanced_nutrition,B_soft_score_shortfall,0.6964,0.6964,0.6913,-0.005099999999999993,687.5,282.8,
280,older_adult,balanced_nutrition,C_calibration_gap,0.6621,0.6621,0.7003,0.03820000000000001,73.9,178.1,
281,older_adult,weight_management,B_soft_score_shortfall,0.5164,0.5164,0.5233,0.006900000000000017,277.8,267.4,
282,older_adult,weight_management,B_soft_score_shortfall,0.4966,0.4966,0.4767,-0.019899999999999973,448.3,446.5,
286,older_adult,glycemic_control,B_soft_score_shortfall,0.6624,0.6624,0.6838,0.021399999999999975,2.9,27.1,
287,older_adult,balanced_nutrition,B_soft_score_shortfall,0.3181,0.3181,0.3111,-0.007000000000000006,1127.0,1114.2,
290,older_adult,glycemic_control,B_soft_score_shortfall,0.4003,0.4003,0.4515,0.05120000000000002,849.1,316.9,
291,older_adult,weight_management,B_soft_score_shortfall,0.68,0.68,0.6577,-0.022300000000000098,3392.3,425.7,
292,older_adult,weight_management,B_soft_score_shortfall,0.4139,0.4139,0.422,0.008099999999999996,631.9,518.0,
293,older_adult,glycemic_control,B_soft_score_shortfall,0.488,0.488,0.4956,0.007599999999999996,394.9,392.3,
294,older_adult,weight_management,B_soft_score_shortfall,0.6665,0.6665,0.6895,0.02300000000000002,21.3,37.5,
297,older_adult,glycemic_control,B_soft_score_shortfall,0.6858,0.6858,0.6604,-0.025399999999999978,105.4,87.5,
298,older_adult,weight_management,B_soft_score_shortfall,0.6355,0.6355,0.6366,0.001100000000000101,245.7,431.6,
299,older_adult,weight_management,B_soft_score_shortfall,0.6466,0.6466,0.627,-0.01959999999999995,544.2,351.2,
300,older_adult,weight_management,B_soft_score_shortfall,0.6474,0.6474,0.6705,0.02310000000000001,3379.0,546.2,
